id;month;year;datetime;depth;urlid;url;domain;platform;dataset_total;domain_country;ip_country;country_name;country_alpha-2_code;root_domain;rank
9073;11;2019;2019-12-17 15:31:34.997;0;URL1674129;https://2020census-bucksgis.opendata.arcgis.com;https://2020census-bucksgis.opendata.arcgis.com;ARCGIS;-1;(not available);United States;United States of America;US;2020census-bucksgis.opendata.arcgis.com;1
9072;11;2019;2019-12-17 15:31:32.730;0;URL1674128;http://2020census-bucksgis.opendata.arcgis.com;https://2020census-bucksgis.opendata.arcgis.com/;ARCGIS;-1;(not available);United States;United States of America;US;2020census-bucksgis.opendata.arcgis.com;2
9074;11;2019;2019-12-17 15:31:38.873;0;URL1674132;http://aampo-mpo.opendata.arcgis.com;http://aampo-mpo.opendata.arcgis.com;ARCGIS;121;(not available);United States;United States of America;US;aampo-mpo.opendata.arcgis.com;1
9910;11;2019;2019-12-17 16:24:26.317;0;URL2610373;https://accessnc.opendatasoft.com;https://accessnc.opendatasoft.com/pages/home/;OPENDATASOFT;59;(not available);United States;United States of America;US;accessnc.opendatasoft.com;1
9911;11;2019;2019-12-17 16:24:29.017;0;URL2610384;https://afd.opendatasoft.com;https://afd.opendatasoft.com/page/accueil/;OPENDATASOFT;13;(not available);Ireland;Ireland;IE;afd.opendatasoft.com;1
8738;11;2019;2019-12-17 15:09:58.357;0;URL6362278;https://africaopendata.org:443;https://africaopendata.org:443;CKAN;5515;(not available);(not available);(not available);00;africaopendata.org:443;1
8737;11;2019;2019-12-17 15:09:55.827;0;URL6362253;http://africaopendata.org;https://africaopendata.org:443/;CKAN;5515;(not available);Ireland;Ireland;IE;africaopendata.org;2
8736;11;2019;2019-12-17 15:09:53.080;0;URL6362238;https://africaopendata.org;https://africaopendata.org;CKAN;5515;(not available);Ireland;Ireland;IE;africaopendata.org;3
9075;11;2019;2019-12-17 15:31:42.173;0;URL1674134;https://agcros-usdaars.opendata.arcgis.com;https://agcros-usdaars.opendata.arcgis.com;ARCGIS;147;(not available);United States;United States of America;US;agcros-usdaars.opendata.arcgis.com;1
9077;11;2019;2019-12-17 15:31:46.870;0;URL1674136;http://agpres-bucksgis.opendata.arcgis.com;https://agpres-bucksgis.opendata.arcgis.com/;ARCGIS;-1;(not available);United States;United States of America;US;agpres-bucksgis.opendata.arcgis.com;1
9076;11;2019;2019-12-17 15:31:44.530;0;URL1674135;https://agpres-bucksgis.opendata.arcgis.com;https://agpres-bucksgis.opendata.arcgis.com;ARCGIS;-1;(not available);United States;United States of America;US;agpres-bucksgis.opendata.arcgis.com;2
8971;11;2019;2019-12-17 15:25:10.397;0;URL7646798;http://www.agridata.tn;http://www.agridata.tn;CKAN;512;Tunisia;Tunisia;Tunisia;TN;agridata.tn;1
